x,y,z,qx,qy,qz,qw
-0.05924208316319948,-0.20509270506784755,0.30909167147875155,0.6545463126025034,-0.44368352237043607,0.5727445062040409,0.21605042755921233
-0.030652282594840177,0.04102112367934079,0.36316820168145514,0.3318912484908048,0.139096933570986,0.6559421854016391,0.663505909285581
-0.04251800862109385,-0.06112305420789012,0.38202579738410347,0.6299088982361224,-0.3633441698089761,0.6150802484854552,0.30474921183138703
0.04581093776290154,-0.06466320399692965,0.4110765312212361,-0.5002306045109041,0.5004629421431692,-0.4999978411349179,0.49930786566254015
0.0791751409706442,-0.08071473605493681,0.35963000802072054,0.04206006758096443,-0.8365956035921401,0.44096385632377516,0.3223191340604102
0.04957328461347627,0.03715973109238871,0.2208123932081609,-0.1501033456257109,-0.7071802504554257,-0.2602031100540231,0.6400464205946191
-0.02789679584941563,-0.030595304520479864,0.31473918640943543,0.06880667516058352,-0.48771965590728245,-0.8201208186041287,0.29119928157040853
-0.02444038886279825,0.1446765899024544,0.22633095677054366,0.12596432166556562,0.6706348659161102,0.13262661492499894,0.7188824989513594
0.036697150964239145,-0.17044905693960583,0.30719599262709985,0.6272347778652152,0.15905575767386199,-0.6558823063973059,0.3887109460024487
-0.046127859658684954,0.06392701899881972,0.24722165076758348,0.5152612175690706,0.3709263710906985,0.7435090000328484,0.21003302542428606
